worldtime,System_State,State_Machine,Reed_Timestamp0,Reed_Timestamp1,Reed_Timestamp2,Reed_Timestamp3,Device_Timestamp0,Device_Timestamp1,Device_Timestamp2,Device_Timestamp3,GM-302BLo,GM-302BHi,GM-502BLo,GM-502BHi,MQ137Lo,MQ137Hi,crc,,
14:56.5,24,4,70,63,223,101,203,63,223,101,183,6,251,8,113,2,89,,
15:00.5,24,4,70,63,223,101,207,63,223,101,185,6,252,8,114,2,26,,
15:04.5,24,4,70,63,223,101,211,63,223,101,186,6,254,8,113,2,14,,
15:08.5,24,4,70,63,223,101,215,63,223,101,188,6,0,9,110,2,103,,
15:12.5,24,4,70,63,223,101,219,63,223,101,189,6,1,9,109,2,137,,
15:16.5,24,4,70,63,223,101,222,63,223,101,191,6,3,9,109,2,56,,
15:20.5,24,4,70,63,223,101,226,63,223,101,193,6,4,9,109,2,111,,
15:24.6,24,4,70,63,223,101,230,63,223,101,194,6,5,9,109,2,165,,
15:28.6,24,4,70,63,223,101,234,63,223,101,195,6,6,9,110,2,103,,
15:32.6,24,4,70,63,223,101,238,63,223,101,196,6,7,9,109,2,54,,
15:36.6,24,4,70,63,223,101,242,63,223,101,197,6,8,9,110,2,142,,
15:40.6,24,4,70,63,223,101,246,63,223,101,198,6,9,9,110,2,68,,
15:44.6,24,4,70,63,223,101,250,63,223,101,199,6,9,9,110,2,131,,
15:48.6,24,4,70,63,223,101,254,63,223,101,200,6,10,9,110,2,142,,
15:52.7,24,4,70,63,223,101,2,64,223,101,201,6,11,9,110,2,31,,
15:56.7,24,4,70,63,223,101,5,64,223,101,202,6,12,9,110,2,25,,
16:00.7,24,4,70,63,223,101,9,64,223,101,203,6,13,9,110,2,200,,
16:04.7,24,4,70,63,223,101,13,64,223,101,203,6,14,9,111,2,64,,
16:08.7,24,4,70,63,223,101,17,64,223,101,204,6,14,9,111,2,227,,
16:12.7,24,4,70,63,223,101,21,64,223,101,205,6,15,9,111,2,123,,
16:16.8,24,4,70,63,223,101,25,64,223,101,206,6,15,9,112,2,122,,
16:20.8,24,4,70,63,223,101,29,64,223,101,206,6,16,9,112,2,104,,
16:24.8,24,4,70,63,223,101,33,64,223,101,207,6,17,9,111,2,156,,
16:28.8,24,4,70,63,223,101,37,64,223,101,208,6,17,9,109,2,31,,
16:32.8,24,4,70,63,223,101,40,64,223,101,208,6,18,9,108,2,182,,
16:36.8,24,4,70,63,223,101,44,64,223,101,209,6,18,9,111,2,7,,
16:40.8,24,4,70,63,223,101,48,64,223,101,209,6,19,9,114,2,211,,
16:44.9,24,4,70,63,223,101,52,64,223,101,210,6,19,9,116,2,113,,
16:48.9,24,4,70,63,223,101,56,64,223,101,210,6,20,9,117,2,232,,
16:52.9,24,4,70,63,223,101,60,64,223,101,211,6,20,9,118,2,89,,
16:56.9,24,4,70,63,223,101,64,64,223,101,211,6,21,9,119,2,67,,
17:00.9,24,4,70,63,223,101,68,64,223,101,212,6,21,9,118,2,46,,
17:04.9,24,4,70,63,223,101,72,64,223,101,213,6,22,9,118,2,211,,
17:09.0,24,4,70,63,223,101,76,64,223,101,213,6,22,9,120,2,162,,
17:13.0,24,4,70,63,223,101,79,64,223,101,213,6,22,9,121,2,15,,
17:17.0,24,4,70,63,223,101,83,64,223,101,214,6,23,9,121,2,30,,
17:21.0,24,4,70,63,223,101,87,64,223,101,214,6,23,9,121,2,185,,
17:25.0,24,4,70,63,223,101,91,64,223,101,215,6,24,9,121,2,172,,
17:29.0,24,4,70,63,223,101,95,64,223,101,215,6,24,9,121,2,11,,
17:33.0,24,4,70,63,223,101,99,64,223,101,216,6,24,9,121,2,196,,
17:37.0,24,4,70,63,223,101,103,64,223,101,216,6,25,9,121,2,117,,
17:41.1,24,4,70,63,223,101,107,64,223,101,216,6,25,9,121,2,155,,
17:45.1,24,4,70,63,223,101,111,64,223,101,217,6,25,9,121,2,21,,
17:49.1,24,4,70,63,223,101,115,64,223,101,217,6,26,9,121,2,83,,
17:53.1,24,4,70,63,223,101,118,64,223,101,218,6,26,9,121,2,231,,
17:57.1,24,4,70,63,223,101,122,64,223,101,218,6,27,9,121,2,31,,
18:01.1,24,4,70,63,223,101,126,64,223,101,219,6,27,9,121,2,145,,
18:05.1,24,4,70,63,223,101,130,64,223,101,219,6,27,9,122,2,59,,
18:09.1,24,4,70,63,223,101,134,64,223,101,219,6,27,9,122,2,156,,
18:13.2,24,4,70,63,223,101,138,64,223,101,220,6,27,9,122,2,173,,
18:17.2,24,4,70,63,223,101,142,64,223,101,220,6,28,9,122,2,104,,
18:21.2,24,4,70,63,223,101,146,64,223,101,220,6,28,9,123,2,1,,
18:25.2,24,4,70,63,223,101,150,64,223,101,220,6,28,9,124,2,205,,
18:29.2,24,4,70,63,223,101,153,64,223,101,221,6,29,9,124,2,164,,
18:33.2,24,4,70,63,223,101,157,64,223,101,221,6,29,9,124,2,3,,
18:37.3,24,4,70,63,223,101,161,64,223,101,222,6,30,9,122,2,99,,
18:41.3,24,4,70,63,223,101,165,64,223,101,222,6,30,9,121,2,251,,
18:45.3,24,4,70,63,223,101,169,64,223,101,223,6,30,9,122,2,3,,
18:49.3,24,4,70,63,223,101,173,64,223,101,223,6,30,9,124,2,218,,
18:53.3,24,4,70,63,223,101,177,64,223,101,223,6,30,9,125,2,179,,
18:57.3,24,4,70,63,223,101,181,64,223,101,223,6,31,9,126,2,61,,
19:01.3,24,4,70,63,223,101,185,64,223,101,223,6,31,9,128,2,17,,
19:05.4,24,4,70,63,223,101,189,64,223,101,224,6,31,9,129,2,150,,
19:09.4,24,4,70,63,223,101,193,64,223,101,224,6,31,9,131,2,165,,
19:13.4,24,4,70,63,223,101,196,64,223,101,224,6,31,9,132,2,1,,
19:17.4,24,4,70,63,223,101,200,64,223,101,224,6,31,9,133,2,250,,
19:21.4,24,4,70,63,223,101,204,64,223,101,224,6,32,9,134,2,25,,

